Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
89;14583.1977;1443;545;73;0.01;-0.03;-1;-0.16;0.23;-0.04;86.72;50.56;5.66;-524.8641968;-1927.451372;232.5686663;-1.287560762;-1.198092816;46.46697307
90;14686.8009;1444;555;73;0.02;-0.03;-1;-0.4;-0.2;0.02;85.55;52.91;4.53;-524.8596072;-1927.467704;232.5850427;-1.278778278;-1.210265608;46.47124017
91;14791.0424;1451;545;76;0.01;-0.03;-1.01;-0.22;-0.02;0.08;85.55;52.91;4.53;-524.8547196;-1927.466631;232.5546294;-1.298191582;-1.230828511;46.46630906
92;14894.8551;1450;529;72;0.02;-0.03;-1;-0.22;0.29;-0.04;85.55;52.91;4.53;-524.8560905;-1927.462339;232.5803488;-1.278282952;-1.195018603;46.47430517
93;15024.3571;1448;552;75;0.01;-0.03;-1;0.02;0.23;0.08;85.55;52.91;5.66;-524.8608589;-1927.471995;232.5900048;-1.291648723;-1.199395673;46.48011595
94;15132.7263;1441;521;73;0.02;-0.03;-1;-0.28;0.17;0.02;86.72;54.09;6.8;-524.8624086;-1927.460909;232.5690091;-1.287040355;-1.214299458;46.47874534
95;15236.4782;1437;519;72;0.01;-0.03;-1;-0.16;0.04;0.02;86.72;51.73;3.4;-524.8627663;-1927.472949;232.5679064;-1.273319751;-1.243740553;46.46393329
96;15434.7798;1435;532;72;0.01;-0.03;-1;-0.1;0.23;0.08;86.72;50.56;4.53;-524.8720646;-1927.471519;232.5780988;-1.283094145;-1.176682748;46.47811023
97;15649.5326;1435;526;74;0.01;-0.03;-1;-0.16;0.29;0.02;89.06;50.56;5.66;-524.8580575;-1927.452683;232.5773388;-1.291688236;-1.212963215;46.47702013
98;15752.2922;1427;519;70;0.01;-0.03;-1;-0.16;0.47;-0.04;87.89;55.26;3.4;-524.8713493;-1927.467108;232.5587869;-1.288615351;-1.225186164;46.4706613
99;15858.0288;1429;524;73;0.02;-0.03;-0.99;-0.04;0.23;-0.04;87.89;55.26;3.4;-524.8629451;-1927.472949;232.5577736;-1.300551215;-1.255732322;46.47200366
